Term,Definition,Category,Example,Source
Pomodoro Technique,A time management method using 25-minute focused work sessions followed by 5-minute breaks,Productivity,Work for 25min → 5min break → repeat 4x → 15-30min long break,Cirillo (1980s)
Feynman Technique,A learning method where you explain concepts in simple terms to identify gaps in understanding,Study Strategy,Teach the concept to a child using plain language without jargon,Feynman
Spaced Repetition,A learning technique with review intervals increasing exponentially based on performance,Memory,Review after 1 day → 3 days → 7 days → 14 days → 30 days,Ebbinghaus
Active Recall,The practice of actively stimulating memory during learning through self-testing,Study Strategy,Close notes and write everything you remember before checking,Roediger & Karpicke
Interleaving,Mixing different topics or skills during study rather than blocking one topic at a time,Study Strategy,Practice math: 5 algebra → 5 geometry → 5 calculus instead of 30 algebra,Taylor & Rohrer
Elaborative Interrogation,Generating explanations for why facts are true by asking "why" questions,Comprehension,Ask "Why does this make sense?" when learning new concepts,Pressley et al.
Dual Coding,Combining visual and verbal information to enhance memory,Memory,Draw diagrams while taking notes or create mind maps,Paivio
Desirable Difficulty,The idea that some difficulty improves long-term learning,Learning Theory,Struggling with retrieval attempts strengthens memory more than easy review,Bjork
Metacognition,Thinking about one's own thinking and learning processes,Self-Regulation,Regularly ask "Do I understand this? What don't I know?",Flavell
Cognitive Load Theory,Managing the amount of mental effort required to process information,Instructional Design,Break complex topics into smaller chunks; reduce extraneous information,Sweller
